0,0,284186
1,284187,284313
0,284314,288731
1,288732,288868
0,288869,290646
1,290647,290775
0,290776,291497
1,291498,291653
0,291654,293033
1,293034,293217
0,293218,299095
1,299096,299334
0,299335,305072
1,305073,305196
0,305197,307358
1,307359,307511
0,307512,307730
1,307731,307879
0,307880,311417
1,311418,311626
0,311627,312764
1,312765,312923
0,312924,314148
1,314149,314216
0,314217,314888
1,314889,315019
0,315020,315227
1,315228,315298
0,315299,316912
1,316913,317050
0,317051,318437
1,318438,318786
0,318787,334365
1,334366,334516
0,334517,338602
1,338603,338709
0,338710,338776
1,338777,338895
0,338896,340763
1,340764,340939
0,340940,341305
1,341306,341395
0,341396,341881
1,341882,341930
0,341931,345514
1,345515,345671
0,345672,346172
1,346173,346259
0,346260,346699
1,346700,346774
0,346775,347232
1,347233,347335
0,347336,347588
1,347589,347692
0,347693,361403
1,361404,361589
0,361590,386366
1,386367,386690
0,386691,630896
1,630897,631173
0,631174,634616
1,634617,634825
0,634826,640819
1,640820,640877
0,640878,640997
1,640998,641086
0,641087,644389
1,644390,644635
0,644636,1282702
1,1282703,1282778
0,1282779,1285776
1,1285777,1285919
0,1285920,1288517
1,1288518,1288641
0,1288642,1288757
1,1288758,1288887
0,1288888,1290335
1,1290336,1290508
0,1290509,1294326
1,1294327,1294460
0,1294461,1295425
1,1295426,1295455
0,1295456,1300489
1,1300490,1300625
0,1300626,1303921
1,1303922,1304018
0,1304019,1305444
1,1305445,1305526
0,1305527,1305626
1,1305627,1305734
0,1305735,1309400
1,1309401,1309588
0,1309589,1341764
1,1341765,1341828
0,1341829,1345314
1,1345315,1345433
0,1345434,1348429
1,1348430,1348544
0,1348545,1352098
1,1352099,1352231
0,1352232,1352320
1,1352321,1352505
0,1352506,1356219
1,1356220,1356335
0,1356336,1358859
1,1358860,1358886
0,1358887,1365136
1,1365137,1365251
0,1365252,1378657
1,1378658,1378763
0,1378764,1381021
1,1381022,1381103
0,1381104,1382389
1,1382390,1382464
0,1382465,1386600
1,1386601,1386758
0,1386759,1387277
1,1387278,1387418
0,1387419,1389239
1,1389240,1389726
0,1389727,1391897
1,1391898,1392008
0,1392009,1403267
1,1403268,1403488
0,1403489,1412730
1,1412731,1412853
0,1412854,1417971
1,1417972,1418115
0,1418116,1418980
1,1418981,1419113
0,1419114,1421656
1,1421657,1421841
0,1421842,1425523
1,1425524,1425686
0,1425687,1427732
1,1427733,1428120
0,1428121,1432267
1,1432268,1432376
0,1432377,1435020
1,1435021,1435082
0,1435083,1435692
1,1435693,1435757
0,1435758,1439095
1,1439096,1439143
0,1439144,1442184
1,1442185,1442316
0,1442317,1452746
1,1452747,1452839
0,1452840,1465477
1,1465478,1466557
0,1466558,1593461
1,1593462,1594223
0,1594224,1595382
1,1595383,1595531
0,1595532,1599190
1,1599191,1599431
0,1599432,1600657
1,1600658,1601593
0,1601594,1615198
1,1615199,1615267
0,1615268,1623137
1,1623138,1623312
0,1623313,1624267
1,1624268,1624397
0,1624398,1627701
1,1627702,1627770
0,1627771,1629819
1,1629820,1629938
0,1629939,1632702
1,1632703,1632786
0,1632787,1633148
1,1633149,1633289
0,1633290,1636436
1,1636437,1636559
0,1636560,1642801
1,1642802,1643013
0,1643014,2221039
1,2221040,2221228
0,2221229,2243021
1,2243022,2243229
0,2243230,2266738
1,2266739,2266946
0,2266947,2291500
1,2291501,2291602
0,2291603,2408743
1,2408744,2408812
0,2408813,2425195
1,2425196,2425303
0,2425304,2488633
1,2488634,2490718
0,2490719,2500815
1,2500816,2500924
0,2500925,2691359
1,2691360,2691426
0,2691427,2714420
1,2714421,2714453
0,2714454,2717603
1,2717604,2717651
0,2717652,2719659
1,2719660,2719704
0,2719705,2720354
1,2720355,2720423
0,2720424,2722625
1,2722626,2722673
0,2722674,2723312
1,2723313,2723363
0,2723364,2726258
1,2726259,2726372
0,2726373,2738198
1,2738199,2738255
0,2738256,2740777
1,2740778,2740803
0,2740804,2752273
1,2752274,2752334
0,2752335,2770548
1,2770549,2770590
0,2770591,2774714
1,2774715,2774738
0,2774739,2782064
1,2782065,2782127
0,2782128,2789642
1,2789643,2789705
0,2789706,2794533
1,2794534,2794602
0,2794603,2797308
1,2797309,2797359
0,2797360,2806699
1,2806700,2806744
0,2806745,2808183
1,2808184,2808219
0,2808220,2811334
1,2811335,2811451
0,2811452,2814362
1,2814363,2814379
0,2814380,2830187
1,2830188,2830194
0,2830195,2843211
1,2843212,2843353
0,2843354,2853978
